name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Bellibolt,Pokémon,Stage 1,140,Lightning,Tadbulb,[Ability] Insulator: Prevent all damage done to this Pokémon by attacks from your opponent's Lightning Pokémon.,"[Lightning,Colorless,Colorless] Thunderous Edge 100 — This attack's damage isn't affected by any effects on your opponent's Active Pokémon.",Fighting ×2,,3,OBF,Obsidian Flames,78,Uncommon,G,
Bellibolt,Pokémon,Stage 1,140,Lightning,Tadbulb,[Ability] Insulator: Prevent all damage done to this Pokémon by attacks from your opponent's Lightning Pokémon.,"[Lightning,Colorless,Colorless] Thunderous Edge 100 — This attack's damage isn't affected by any effects on your opponent's Active Pokémon.",Fighting ×2,,3,OBF,Obsidian Flames,201,Illustration Rare,G,
Bellibolt,Pokémon,Stage 1,140,Lightning,Tadbulb,,"[Lightning,Colorless] Thunder Shock 50 — Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed. | [Lightning,Lightning,Colorless] Electric Ball 130",Fighting ×2,,3,TWM,Twilight Masquerade,74,Uncommon,H,
Bellibolt,Pokémon,Stage 1,130,Lightning,Tadbulb,,"[Lightning] Thunder Wave — Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed. | [Lightning,Lightning,Colorless] Two Bump Bolt 10+ — You may discard up to 2 Lightning Energy from this Pokémon. This attack does 80 more damage for each card you discarded in this way.",Fighting ×2,,3,PR-SV,Scarlet & Violet Black Star Promos,94,Promo,G,
Bellibolt ex,Pokémon,"Stage 1,ex",280,Lightning,Tadbulb,,"[Colorless,Colorless] Jumping Press — This attack does 50 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) | [Lightning,Lightning,Colorless] Paralyzing Ball 160 — You may discard 2 Lightning Energy from this Pokémon to make your opponent's Active Pokémon Paralyzed.",Fighting ×2,,3,PAL,Paldea Evolved,79,Double Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Bellibolt ex,Pokémon,"Stage 1,ex",280,Lightning,Tadbulb,,"[Colorless,Colorless] Jumping Press — This attack does 50 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) | [Lightning,Lightning,Colorless] Paralyzing Ball 160 — You may discard 2 Lightning Energy from this Pokémon to make your opponent's Active Pokémon Paralyzed.",Fighting ×2,,3,PAL,Paldea Evolved,237,Ultra Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Bellossom,Pokémon,Stage 2,130,Grass,Gloom,,[Colorless] Sleep Powder 30 — Your opponent's Active Pokémon is now Asleep. | [Grass] Powerful Dance 90× — Flip a coin for each Energy attached to this Pokémon. This attack does 90 damage for each heads.,Fire ×2,,1,OBF,Obsidian Flames,3,Uncommon,G,
Bellsprout,Pokémon,Basic,60,Grass,,,"[Grass] Cut 10 | [Grass,Colorless] Bind Down 20 — During your opponent's next turn, the Defending Pokémon can't retreat.",Fire ×2,,1,MEW,151,69,Common,G,
Bewear,Pokémon,Stage 1,130,Colorless,Stufful,,"[Colorless,Colorless] Knuckle Punch 50 | [Colorless,Colorless,Colorless] Hyper Lariat 100+ — Flip 2 coins. If both of them are heads, this attack does 100 more damage.",Fighting ×2,,3,MEG,Mega Evolution,112,Common,I,
Bewear,Pokémon,Stage 1,130,Colorless,Stufful,,"[Colorless] Power Charger 30 — Search your deck for a Basic Energy card and attach it to this Pokémon. Then, shuffle your deck. | [Colorless,Colorless,Colorless] Hammer In 130",Fighting ×2,,3,SFA,Shrouded Fable,53,Common,H,
Bewear,Pokémon,Stage 1,130,Colorless,Stufful,,"[Colorless] Power Charger 30 — Search your deck for a Basic Energy card and attach it to this Pokémon. Then, shuffle your deck. | [Colorless,Colorless,Colorless] Hammer In 130",Fighting ×2,,3,SFA,Shrouded Fable,79,Illustration Rare,H,
Bisharp,Pokémon,Stage 1,120,Metal,Pawniard,,[Metal] Rapid Draw 50 — Draw 2 cards.,Fire ×2,Grass -30,1,ASC,Ascended Heroes,147,Common,I,
Bisharp,Pokémon,Stage 1,120,Darkness,Pawniard,,"[Darkness] Dark Cutter 40 | [Darkness,Colorless] Double-Edged Slash 120 — This Pokémon also does 30 damage to itself.",Grass ×2,,1,SVI,Scarlet & Violet,133,Common,G,
Bisharp,Pokémon,Stage 1,110,Metal,Pawniard,,"[Metal] Metal Claw 20 | [Metal,Colorless] Fury Cutter 50+ — Flip 3 coins. If 1 of them is heads, this attack does 20 more damage. If 2 of them are heads, this attack does 60 more damage. If all of them are heads, this attack does 120 more damage.",Fire ×2,Grass -30,2,OBF,Obsidian Flames,149,Common,G,
Bisharp,Pokémon,Stage 1,120,Darkness,Pawniard,,"[Darkness] Dark Cutter 40 | [Darkness,Colorless] Double-Edged Slash 120 — This Pokémon also does 30 damage to itself.",Grass ×2,,1,PAF,Paldean Fates,186,Shiny Rare,G,
Bisharp,Pokémon,Stage 1,100,Darkness,Pawniard,,[Darkness] Cut 30,Grass ×2,,1,PR-SV,Scarlet & Violet Black Star Promos,112,Promo,H,
Bisharp,Pokémon,Stage 1,120,Metal,Pawniard,,"[Metal] Cut Up 40 | [Metal,Colorless] Finishing Blow 60+ — If your opponent's Active Pokémon already has any damage counters on it, this attack does 60 more damage.",Fire ×2,Grass -30,2,BLK,Black Bolt,65,Uncommon,I,
Bisharp,Pokémon,Stage 1,120,Metal,Pawniard,,"[Metal] Cut Up 40 | [Metal,Colorless] Finishing Blow 60+ — If your opponent's Active Pokémon already has any damage counters on it, this attack does 60 more damage.",Fire ×2,Grass -30,2,BLK,Black Bolt,143,Illustration Rare,I,
Black Kyurem ex,Pokémon,"Basic,ex",230,Water,,,"[Colorless,Colorless,Colorless] Ice Age 90 — If your opponent's Active Pokémon is a Dragon Pokémon, it is now Paralyzed. | [Water,Water,Colorless,Colorless] Black Frost 250 — This Pokémon also does 30 damage to itself.",Metal ×2,,3,SSP,Surging Sparks,48,Double Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Black Kyurem ex,Pokémon,"Basic,ex",230,Water,,,"[Colorless,Colorless,Colorless] Ice Age 90 — If your opponent's Active Pokémon is a Dragon Pokémon, it is now Paralyzed. | [Water,Water,Colorless,Colorless] Black Frost 250 — This Pokémon also does 30 damage to itself.",Metal ×2,,3,SSP,Surging Sparks,218,Ultra Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Blastoise ex,Pokémon,"Stage 2,ex",330,Water,Wartortle,[Ability] Solid Shell: This Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).,"[Water,Water] Twin Cannons 140× — Discard up to 2 Basic Water Energy cards from your hand. This attack does 140 damage for each card you discarded in this way.",Lightning ×2,,3,MEW,151,9,Double Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Blastoise ex,Pokémon,"Stage 2,ex",330,Water,Wartortle,[Ability] Solid Shell: This Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).,"[Water,Water] Twin Cannons 140× — Discard up to 2 Basic Water Energy cards from your hand. This attack does 140 damage for each card you discarded in this way.",Lightning ×2,,3,MEW,151,184,Ultra Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Blastoise ex,Pokémon,"Stage 2,ex",330,Water,Wartortle,[Ability] Solid Shell: This Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).,"[Water,Water] Twin Cannons 140× — Discard up to 2 Basic Water Energy cards from your hand. This attack does 140 damage for each card you discarded in this way.",Lightning ×2,,3,MEW,151,200,Special Illustration Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Blastoise ex,Pokémon,"Stage 2,ex",330,Water,Wartortle,[Ability] Solid Shell: This Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).,"[Water,Water] Twin Cannons 140× — Discard up to 2 Basic Water Energy cards from your hand. This attack does 140 damage for each card you discarded in this way.",Lightning ×2,,3,SCR,Stellar Crown,30,Double Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Blaziken,Pokémon,Stage 2,170,Fire,Combusken,,"[Colorless,Colorless] Heat Blast 70 | [Fire,Fire,Colorless] Inferno Kick Flurry 120 — Discard 2 Energy from this Pokémon. This attack also does 120 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Water ×2,,2,DRI,Destined Rivals,42,Rare,I,
Blaziken,Pokémon,Stage 2,170,Fire,Combusken,,"[Colorless,Colorless] Heat Blast 70 | [Fire,Fire,Colorless] Inferno Kick Flurry 120 — Discard 2 Energy from this Pokémon. This attack also does 120 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Water ×2,,2,DRI,Destined Rivals,192,Illustration Rare,I,
Blaziken ex,Pokémon,"Stage 2,ex",320,Fire,Combusken,"[Ability] Seething Spirit: Once during your turn, you may attach a Basic Energy card from your discard pile to 1 of your Pokémon.","[Fire,Colorless] Smolder-sault 200 — During your next turn, this Pokémon can't attack.",Water ×2,,2,JTG,Journey Together,24,Double Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Blipbug,Pokémon,Basic,50,Grass,,,"[Grass] Surprise Attack 30 — Flip a coin. If tails, this attack does nothing.",Fire ×2,,1,PAR,Paradox Rift,10,Common,G,
Blissey,Pokémon,Stage 1,150,Colorless,Chansey,"[Ability] Busybody Nurse: Once during your turn, you may use this Ability. Your Active Pokémon recovers from all Special Conditions.","[Colorless,Colorless,Colorless] Happy Cyclone 150 — Move all Energy from this Pokémon to 1 of your Benched Pokémon.",Fighting ×2,,2,SVI,Scarlet & Violet,145,Uncommon,G,
Blissey ex,Pokémon,"Stage 1,ex",300,Colorless,Chansey,"[Ability] Happy Switch: Once during your turn, you may move a Basic Energy from 1 of your Pokémon to another of your Pokémon.","[Colorless,Colorless,Colorless] Return 180 — You may draw cards until you have 6 cards in your hand.",Fighting ×2,,4,TWM,Twilight Masquerade,134,Double Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Blissey ex,Pokémon,"Stage 1,ex",300,Colorless,Chansey,"[Ability] Happy Switch: Once during your turn, you may move a Basic Energy from 1 of your Pokémon to another of your Pokémon.","[Colorless,Colorless,Colorless] Return 180 — You may draw cards until you have 6 cards in your hand.",Fighting ×2,,4,TWM,Twilight Masquerade,201,Ultra Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Blitzle,Pokémon,Basic,60,Lightning,,,"[Colorless] Smash Kick 10 | [Lightning,Colorless] Zap Kick 30",Fighting ×2,,1,WHT,White Flare,31,Common,I,
Blitzle,Pokémon,Basic,60,Lightning,,,"[Colorless] Smash Kick 10 | [Lightning,Colorless] Zap Kick 30",Fighting ×2,,1,WHT,White Flare,114,Illustration Rare,I,
Blitzle,Pokémon,Basic,60,Lightning,,,"[Lightning] Rear Kick 10 | [Lightning,Colorless,Colorless] Wild Charge 50 — This Pokémon also does 20 damage to itself.",Fighting ×2,,1,PAR,Paradox Rift,62,Common,G,
Blitzle,Pokémon,Basic,60,Lightning,,,"[Lightning] Rear Kick 10 | [Lightning,Colorless,Colorless] Wild Charge 50 — This Pokémon also does 20 damage to itself.",Fighting ×2,,1,PAR,Paradox Rift,195,Illustration Rare,G,
Blitzle,Pokémon,Basic,70,Lightning,,,"[Colorless] Add On — Draw a card. | [Lightning,Colorless] Static Shock 20",Fighting ×2,,1,SSP,Surging Sparks,62,Common,H,
Bloodmoon Ursaluna,Pokémon,Basic,150,Fighting,,"[Ability] Battle-Hardened: When you play this Pokémon from your hand onto your Bench during your turn, you may attach up to 2 Basic Fighting Energy cards from your hand to this Pokémon.","[Fighting,Fighting,Colorless] Mad Bite 100+ — This attack does 30 more damage for each damage counter on your opponent's Active Pokémon.",Grass ×2,,4,SFA,Shrouded Fable,25,Rare,H,
Bloodmoon Ursaluna,Pokémon,Basic,150,Fighting,,"[Ability] Battle-Hardened: When you play this Pokémon from your hand onto your Bench during your turn, you may attach up to 2 Basic Fighting Energy cards from your hand to this Pokémon.","[Fighting,Fighting,Colorless] Mad Bite 100+ — This attack does 30 more damage for each damage counter on your opponent's Active Pokémon.",Grass ×2,,4,PRE,Prismatic Evolutions,54,Rare,H,
Bloodmoon Ursaluna ex,Pokémon,"Basic,ex",260,Colorless,,[Ability] Seasoned Skill: Blood Moon used by this Pokémon costs Colorless less for each Prize card your opponent has taken.,"[Colorless,Colorless,Colorless,Colorless,Colorless] Blood Moon 240 — During your next turn, this Pokémon can't attack.",Fighting ×2,,3,TWM,Twilight Masquerade,141,Double Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Bloodmoon Ursaluna ex,Pokémon,"Basic,ex",260,Colorless,,[Ability] Seasoned Skill: Blood Moon used by this Pokémon costs Colorless less for each Prize card your opponent has taken.,"[Colorless,Colorless,Colorless,Colorless,Colorless] Blood Moon 240 — During your next turn, this Pokémon can't attack.",Fighting ×2,,3,TWM,Twilight Masquerade,202,Ultra Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Bloodmoon Ursaluna ex,Pokémon,"Basic,ex",260,Colorless,,[Ability] Seasoned Skill: Blood Moon used by this Pokémon costs Colorless less for each Prize card your opponent has taken.,"[Colorless,Colorless,Colorless,Colorless,Colorless] Blood Moon 240 — During your next turn, this Pokémon can't attack.",Fighting ×2,,3,TWM,Twilight Masquerade,216,Special Illustration Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Bloodmoon Ursaluna ex,Pokémon,"Basic,ex",260,Colorless,,[Ability] Seasoned Skill: Blood Moon used by this Pokémon costs Colorless less for each Prize card your opponent has taken.,"[Colorless,Colorless,Colorless,Colorless,Colorless] Blood Moon 240 — During your next turn, this Pokémon can't attack.",Fighting ×2,,3,TWM,Twilight Masquerade,222,Hyper Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Bloodmoon Ursaluna ex,Pokémon,"Basic,ex",260,Colorless,,[Ability] Seasoned Skill: Blood Moon used by this Pokémon costs Colorless less for each Prize card your opponent has taken.,"[Colorless,Colorless,Colorless,Colorless,Colorless] Blood Moon 240 — During your next turn, this Pokémon can't attack.",Fighting ×2,,3,PRE,Prismatic Evolutions,168,Special Illustration Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Boldore,Pokémon,Stage 1,110,Fighting,Roggenrola,,"[Fighting] Smack Down 30+ — If your opponent's Active Pokémon has Fighting Resistance, this attack does 50 more damage. | [Fighting,Fighting,Fighting] Power Gem 90",Grass ×2,,3,WHT,White Flare,47,Common,I,
Boldore,Pokémon,Stage 1,110,Fighting,Roggenrola,,"[Fighting] Smack Down 30+ — If your opponent's Active Pokémon has Fighting Resistance, this attack does 50 more damage. | [Fighting,Fighting,Fighting] Power Gem 90",Grass ×2,,3,WHT,White Flare,128,Illustration Rare,I,
Boltund,Pokémon,Stage 1,130,Lightning,Yamper,,"[Lightning,Colorless] Electric Run 70+ — Flip a coin. If heads, this attack does 70 more damage.",Fighting ×2,,1,PFL,Phantasmal Flames,31,Common,I,
Boltund,Pokémon,Stage 1,120,Lightning,Yamper,,"[Colorless] Electrifying Dash 50 — Search your deck for up to 2 Basic Lightning Energy cards and attach them to your Benched Pokémon in any way you like. Then, shuffle your deck.",Fighting ×2,,1,TEF,Temporal Forces,59,Uncommon,H,
Bombirdier,Pokémon,Basic,110,Darkness,,,"[Colorless] Knickknack Carrying — Search your deck for up to 3 Pokémon Tool cards, reveal them, and put them into your hand. Then, shuffle your deck. | [Darkness,Colorless] Clutch 60 — During your opponent's next turn, the Defending Pokémon can't retreat.",Lightning ×2,Fighting -30,1,SVI,Scarlet & Violet,138,Uncommon,G,
Bombirdier,Pokémon,Basic,110,Darkness,,,"[Colorless] Knickknack Carrying — Search your deck for up to 3 Pokémon Tool cards, reveal them, and put them into your hand. Then, shuffle your deck. | [Darkness,Colorless] Clutch 60 — During your opponent's next turn, the Defending Pokémon can't retreat.",Lightning ×2,Fighting -30,1,SVI,Scarlet & Violet,219,Illustration Rare,G,
Bombirdier,Pokémon,Basic,120,Darkness,,,"[Colorless] Delivery Pocket — Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck. | [Darkness,Darkness,Colorless] Dark Edge 120 — Discard an Energy from this Pokémon.",Lightning ×2,Fighting -30,1,PAL,Paldea Evolved,147,Uncommon,G,
Bombirdier,Pokémon,Basic,100,Darkness,,,"[Darkness,Colorless] Reckless Charge 70 — This Pokémon also does 20 damage to itself.",Grass ×2,,1,SCR,Stellar Crown,97,Common,H,
Bombirdier,Pokémon,Basic,120,Darkness,,,"[Colorless] Glide 20 | [Darkness,Darkness,Colorless] Drop Shot — Discard all Energy from this Pokémon, and this attack does 120 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Lightning ×2,Fighting -30,1,JTG,Journey Together,101,Common,H,
Bombirdier ex,Pokémon,"Basic,ex",200,Colorless,,,"[Colorless] Fast Carrier — If you go first, you can use this attack during your first turn. Search your deck for up to 3 Basic Pokémon and put them onto your Bench. Then, shuffle your deck. | [Colorless,Colorless,Colorless] Shadowy Wind 130 — You may put this Pokémon and all attached cards into your hand.",Lightning ×2,Fighting -30,1,PAR,Paradox Rift,156,Double Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Bombirdier ex,Pokémon,"Basic,ex",200,Colorless,,,"[Colorless] Fast Carrier — If you go first, you can use this attack during your first turn. Search your deck for up to 3 Basic Pokémon and put them onto your Bench. Then, shuffle your deck. | [Colorless,Colorless,Colorless] Shadowy Wind 130 — You may put this Pokémon and all attached cards into your hand.",Lightning ×2,Fighting -30,1,PAR,Paradox Rift,234,Ultra Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Bonsly,Pokémon,Basic,30,Fighting,,,[] Blubbering 10 — Your opponent's Active Pokémon is now Confused.,Grass ×2,,0,OBF,Obsidian Flames,110,Common,G,
Bouffalant,Pokémon,Basic,120,Colorless,,[Ability] Bouffer: This Pokémon takes 20 less damage from attacks (after applying Weakness and Resistance).,"[Colorless,Colorless] Damage Rush 50+ — Flip a coin until you get tails. This attack does 30 more damage for each heads.",Fighting ×2,,2,OBF,Obsidian Flames,174,Uncommon,G,
Bouffalant,Pokémon,Basic,100,Colorless,,"[Ability] Curly Wall: As long as you have at least 1 other Bouffalant in play, all of your Basic Colorless Pokémon take 60 less damage from attacks from your opponent's Pokémon (after applying Weakness and Resistance). The effect of Curly Wall doesn't stack.","[Colorless,Colorless,Colorless] Boundless Power 130 — During your next turn, this Pokémon can't attack.",Fighting ×2,,2,SCR,Stellar Crown,119,Rare,H,
